job_id,skill_id,skill_name
JOBSEARCH_118,3,ETL
JOBSEARCH_118,4,Excel
JOBSEARCH_118,17,Power BI
JOBSEARCH_118,20,Python
JOBSEARCH_118,22,R
JOBSEARCH_118,26,SQL
JOBSEARCH_118,30,Tableau
JOBSEARCH_119,4,Excel
JOBSEARCH_119,13,Machine Learning
JOBSEARCH_119,17,Power BI
JOBSEARCH_119,20,Python
JOBSEARCH_119,21,Qlik
JOBSEARCH_119,22,R
JOBSEARCH_119,26,SQL
JOBSEARCH_119,29,Statistics
JOBSEARCH_119,30,Tableau
JOBSEARCH_120,8,Google Sheets
JOBSEARCH_120,15,NumPy
JOBSEARCH_120,16,Pandas
JOBSEARCH_120,20,Python
JOBSEARCH_120,26,SQL
JOBSEARCH_128,12,MLOps
JOBSEARCH_128,13,Machine Learning
JOBSEARCH_128,20,Python
JOBSEARCH_128,23,RAG
JOBSEARCH_128,26,SQL
JOBSEARCH_128,27,Snowflake
JOBSEARCH_128,29,Statistics
JOBSEARCH_128,31,Vector Database
JOBSEARCH_141,3,ETL
JOBSEARCH_141,4,Excel
JOBSEARCH_141,10,JavaScript
JOBSEARCH_141,17,Power BI
JOBSEARCH_141,20,Python
JOBSEARCH_141,24,SAS
JOBSEARCH_141,25,SPSS
JOBSEARCH_141,26,SQL
JOBSEARCH_141,29,Statistics
JOBSEARCH_148,3,ETL
JOBSEARCH_148,4,Excel
JOBSEARCH_148,17,Power BI
JOBSEARCH_148,26,SQL
JOBSEARCH_149,4,Excel
JOBSEARCH_149,9,Hadoop
JOBSEARCH_149,17,Power BI
JOBSEARCH_149,20,Python
JOBSEARCH_149,22,R
JOBSEARCH_149,26,SQL
JOBSEARCH_149,28,Spark
JOBSEARCH_149,29,Statistics
JOBSEARCH_149,30,Tableau
KAGGLE_00001,13,Machine Learning
KAGGLE_00002,2,Deep Learning
KAGGLE_00002,13,Machine Learning
KAGGLE_00004,13,Machine Learning
KAGGLE_00005,13,Machine Learning
KAGGLE_00005,20,Python
KAGGLE_00007,2,Deep Learning
KAGGLE_00007,13,Machine Learning
KAGGLE_00008,13,Machine Learning
KAGGLE_00008,20,Python
KAGGLE_00009,13,Machine Learning
KAGGLE_00009,20,Python
KAGGLE_00009,22,R
KAGGLE_00009,26,SQL
KAGGLE_00010,13,Machine Learning
KAGGLE_00011,2,Deep Learning
KAGGLE_00011,13,Machine Learning
KAGGLE_00011,14,NLP
KAGGLE_00011,20,Python
KAGGLE_00013,13,Machine Learning
KAGGLE_00014,13,Machine Learning
KAGGLE_00015,13,Machine Learning
KAGGLE_00015,20,Python
