job_id,title,company,city,posted_date,job_type,source
JOBSEARCH_118,Data Analyst - Fresher,Simply Vyapar Apps Private Limited,Bangalore,2026-07-14,Fresher,indeed_2026
JOBSEARCH_119,Data Analyst,ALSTOM,Bangalore,2026-08-05,Full-time,indeed_2026
JOBSEARCH_120,Data Analyst,Indium software,Bangalore,2026-04-20,Permanent,indeed_2026
JOBSEARCH_128,Data Scientist,Cisco,Bangalore,2026-08-25,Full-time,indeed_2026
JOBSEARCH_138,Junior Data Analyst,Institutional Shareholder Services,Mumbai,2026-08-17,Full-time,indeed_2026
JOBSEARCH_141,Data Analyst,Anarock Property Consultants,Mumbai,2026-08-18,Full-time,indeed_2026
JOBSEARCH_148,Data Analyst/PowerBI Engineer,ProArch,Hyderabad,2026-06-08,Full-time,indeed_2026
JOBSEARCH_149,Data Analyst,Tanla Platforms,Hyderabad,2026-05-13,Full-time,indeed_2026
KAGGLE_00001,Technology Lead : Data Science I Machine Learning,Infosys Limited,Bangalore,2022-06-26,,kaggle_2022
KAGGLE_00002,"Software Engineer, Machine Learning",Google,Bangalore,2022-06-26,,kaggle_2022
KAGGLE_00003,Experienced Over The Shoulder Mechanic- C17,BOEING,Remote,2022-07-23,,kaggle_2022
KAGGLE_00004,Data Scientist,Infosys Limited,Bangalore,2022-06-26,,kaggle_2022
KAGGLE_00005,Python Developer,Infosys Limited,Bangalore,2022-06-26,,kaggle_2022
KAGGLE_00006,Senior Data Analyst,AdTech Holding,Bangalore,2022-07-21,,kaggle_2022
KAGGLE_00007,Machine Learning Engineer,Oracle,Bangalore,2022-07-12,,kaggle_2022
KAGGLE_00008,Machine Learning-Python,Atos,Pune,2022-07-23,,kaggle_2022
KAGGLE_00009,Data Analytics,Infochola,India,2022-07-26,,kaggle_2022
KAGGLE_00010,Machine Learning Data Engineer,BlueOptima,Bangalore,2022-07-25,,kaggle_2022
KAGGLE_00011,Machine Learning Engineer,Impetus Technologies,Gurgaon,2022-07-21,,kaggle_2022
KAGGLE_00012,"Software Engineering Intern, Winter 2023",Google,Bangalore,2022-07-14,,kaggle_2022
KAGGLE_00013,Cloud Engineer (Remote),Julia Computing,Bangalore,2022-07-23,,kaggle_2022
KAGGLE_00014,Machine Learning Engineer,DTN,Remote,2022-07-22,,kaggle_2022
KAGGLE_00015,Machine Learning Engineer and Big Data Engineer,Infimetrics Info Solutions Pvt. Ltd.,Bangalore,2022-07-21,,kaggle_2022
KAGGLE_00016,Associate Data Scientist I,UST Global,Bangalore,2022-07-07,,kaggle_2022
KAGGLE_00017,Machine Learning Developer,Tech Opportunity,Mumbai,2022-07-25,,kaggle_2022
KAGGLE_00018,Machine Learning Engineer,Quantiphi,Mumbai,2022-07-22,,kaggle_2022
KAGGLE_00019,Python Machine Learning/AI Engineer,Mobotics,Delhi,2022-06-26,,kaggle_2022
KAGGLE_00020,Data Analyst,Maersk,Chennai,2022-07-19,,kaggle_2022
KAGGLE_00021,Machine Learning Engineer,Ideapoke,Bangalore,2022-07-19,,kaggle_2022
KAGGLE_00022,Data analyst,Honeywell,Bangalore,2022-07-19,,kaggle_2022
KAGGLE_00023,Machine Learning Engineer,ServiceNow,Hyderabad,2022-07-21,,kaggle_2022
KAGGLE_00024,Machine Learning Intern,Hacklab Solutions Private Limited,Bangalore,2022-07-24,,kaggle_2022
KAGGLE_00025,Machine Learning Engineer,PeopleGrove,Remote,2022-06-26,,kaggle_2022
KAGGLE_00026,Data Scientist,Lincode Labs,Bangalore,2022-07-26,,kaggle_2022
KAGGLE_00027,– Machine Learning Engineer,Sourcedesk Global,Kolkata,2022-06-26,,kaggle_2022
KAGGLE_00028,Machine Learning Engineer,Mercedes-Benz Research and Development India...,Bangalore,2022-06-26,,kaggle_2022
KAGGLE_00029,Associate Machine Learning Scientist,Wadhwani Institute for Artificial Intelligence,Delhi,2022-07-22,,kaggle_2022
KAGGLE_00030,Computer Vision Research/ Platform Engineer - Machine Learni...,Mercedes-Benz Research and Development India...,Bangalore,2022-06-26,,kaggle_2022
