job_id,title,company,city,posted_date,job_type,source,description
JOBSEARCH_118,"Data Analyst - Fresher","Simply Vyapar Apps Private Limited","Bangalore","2026-07-14","Fresher","indeed_2026","We are looking for a passionate and detail-oriented Data Analyst (Fresher). Key Responsibilities: Collect, clean, and transform raw data into usable formats. Analyze large datasets to extract actionable insights and trends. Create dashboards and visualizations using tools like Power BI, Tableau. Support data-driven decision-making. Requirements: Proficiency in Excel, SQL, and at least one data visualization tool (Power BI / Tableau). Basic understanding of Python or R for data analysis. Good to have: ETL processes, Google Analytics."
JOBSEARCH_119,"Data Analyst","ALSTOM","Bangalore","2026-08-05","Full-time","indeed_2026","Driving end-to-end data analysis, automation, and reporting. Designing and implementing automation solutions using tools like UiPath, Automation Anywhere, and Microsoft Power Automate. Developing and maintaining interactive dashboards using Microsoft Power BI and Tableau. Performing advanced data analysis using SQL. Applying data science techniques like statistical modeling, forecasting, and machine learning using Python or R. Proficiency in SQL, Microsoft Excel, and BI tools like Power BI, Tableau, or Qlik Sense."
JOBSEARCH_120,"Data Analyst","Indium software","Bangalore","2026-04-20","Permanent","indeed_2026","Analyze large datasets to identify trends, patterns, and actionable insights. Write efficient and optimized SQL queries for data extraction and manipulation. Use advanced Python (Pandas, NumPy) for data analysis, automation, and modeling. Work extensively with Google Sheets for reporting. Required Skills: Strong proficiency in SQL. Advanced knowledge of Python (Pandas, NumPy). Hands-on experience with Google Sheets."
JOBSEARCH_128,"Data Scientist","Cisco","Bangalore","2026-08-25","Full-time","indeed_2026","Design and develop high-impact AI/ML solutions. Expert-level proficiency in Python and SQL. Strong understanding of supervised and unsupervised machine learning, time-series analysis, and optimization techniques. Experience building RAG pipelines, embeddings, vector databases. Experience with modern data platforms such as Snowflake. Strong statistical analysis and correlation analysis skills. MLOps and model lifecycle management."
JOBSEARCH_138,"Junior Data Analyst","Institutional Shareholder Services","Mumbai","2026-08-17","Full-time","indeed_2026","Search for, collect and verify data for companies under assigned market. Knowledge and experience in using MS Office. Strong analytical and problem solving skills. Experience in data collection and analysis, corporate governance and business research would be an advantage."
JOBSEARCH_141,"Data Analyst","Anarock Property Consultants","Mumbai","2026-08-18","Full-time","indeed_2026","Interpret data, analyze results using statistical techniques. Technical expertise regarding data models, database design development, data mining. Strong knowledge and experience with reporting packages (Business Objects), databases (SQL), programming (XML, Javascript, ETL frameworks). Knowledge of statistics and experience using statistical packages (Excel, SPSS, SAS). Required Skills: SQL, Good communication, Excel, Python, Power BI."
JOBSEARCH_148,"Data Analyst/PowerBI Engineer","ProArch","Hyderabad","2026-06-08","Full-time","indeed_2026","Design, develop, and maintain interactive dashboards and reports using Power BI and Fabric workspaces. Strong knowledge of SQL for data querying and manipulation. Experience with data modeling and ETL processes. Proficiency in Microsoft Excel and other data analysis tools."
JOBSEARCH_149,"Data Analyst","Tanla Platforms","Hyderabad","2026-05-13","Full-time","indeed_2026","Collect, clean, and validate data from multiple sources. Write efficient SQL queries to extract and manipulate data. Experience with big data technologies (Apache Hadoop, Apache Spark). Strong knowledge of SQL (MySQL, PostgreSQL, ClickHouse). Proficiency in Excel (advanced formulas, pivot tables). Experience with data visualization tools (Tableau, Power BI, Superset). Familiarity with Python or R. Understanding of statistical methods and data modelling."
KAGGLE_00001,Technology Lead : Data Science I Machine Learning,Infosys Limited,Bangalore,2022-06-26,,kaggle_2022,"A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue…"
KAGGLE_00002,"Software Engineer, Machine Learning",Google,Bangalore,2022-06-26,,kaggle_2022,2 years of relevant work experience in machine learning software development and architectures for machine learning (with focus on deep learning).
KAGGLE_00003,Experienced Over The Shoulder Mechanic- C17,BOEING,Remote,2022-07-23,,kaggle_2022,"This position will focus on supporting the Boeing Defense India (BDI) business organization.,He must be willing to work flexible hours (early or late as needed)…"
KAGGLE_00004,Data Scientist,Infosys Limited,Bangalore,2022-06-26,,kaggle_2022,"Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning &…"
KAGGLE_00005,Python Developer,Infosys Limited,Bangalore,2022-06-26,,kaggle_2022,"Should have a decent understanding of the Machine learning algorithms such as the clustering and classification algorithms, experience in model management, and…"
KAGGLE_00006,Senior Data Analyst,AdTech Holding,Bangalore,2022-07-21,,kaggle_2022,"Work on the development of the PropellerAds product: conduct exploratory analysis - put forward hypotheses, select metrics, and conduct research and experiments…"
KAGGLE_00007,Machine Learning Engineer,Oracle,Bangalore,2022-07-12,,kaggle_2022,"Good understanding of deep learning frameworks (like Tensorflow, Keras or PyTorch).,Design, develop, troubleshoot and debug software programs for databases,…"
KAGGLE_00008,Machine Learning-Python,Atos,Pune,2022-07-23,,kaggle_2022,"Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Machine Learning, Data Science, Python, algorithm,…"
KAGGLE_00009,Data Analytics,Infochola,India,2022-07-26,,kaggle_2022,"Very good experience in Python/R, SQL or on related machine learning technologies.,Responsible for designing & developing analysis with Dashboards,…"
